",Tanggal,Pengguna,Tweet,"
"0,12/12/2022 04:19,ENS53311139,YTH KAPOLRI DENSUS BNPT STOP MENDISCREDIT ISLAM DGN ISIS TERORIS RADIKAL INTOLERANSI KARENA BUKAN AKHLAQ MUSLIM DI NKRI TERORIS ISIS AKHLAQ RADIKAL MAUPUN INTOLERANSI SEMUA FITNAH NEGARA PHOBIA ISLAM,Netral"
"1,12/12/2022 04:16,RawasUluSektor,Bhabinkamtibmas Polsek Rawas Ulu Polres Muratara Polda Sumsel menyebarkan maklumat Kapolri tentang larangan karhutlah sumsel musirawasutara,Netral"
"2,12/12/2022 04:14,sitohang76,Indahnya toleransi Indonesia CC yth Bapak Menkopolhukam Bapak Kapolri Bapak Presiden Saya percaya Indonesia akan baik2 saja,Positif"
"3,12/12/2022 04:11,polsek_gemolong,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"4,12/12/2022 04:07,RawasUluSektor,Bhabinkamtibmas Polsek Rawas Ulu Polres Muratara Polda Sumsel menyebarkan maklumat Kapolri tentang larangan karhutlah sumsel musirawasutara,Netral"
"5,12/12/2022 04:02,jokoasm39190041,KAPOLDA SUMSEL BERI PENGHARGAAN KEPADA PERSONIL YANG BERPRESTASI poldasumsel kapoldasumsel polri palembang listyosigitprabowo hermanderu indozone detiknews plglipp humaspolri sumsel wibowo,Netral"
"6,12/12/2022 04:01,pelitahati368,KAPOLDA SUMSEL BERI PENGHARGAAN KEPADA PERSONIL YANG BERPRESTASI poldasumsel kapoldasumsel polri palembang listyosigitprabowo hermanderu indozone detiknews plglipp humaspolri sumsel wibowo,Netral"
"7,12/12/2022 04:00,celebdotid,Prosesi Pernikahan Kaesang dan Erina Berjalan sesuai Rencana Kapolri Puji Sinergi TNI dan Polri CelebritiesDotID InfoCelebTerkini,Netral"
"8,12/12/2022 03:52,Bisniscom,IPW Minta Kapolri Tuntaskan Kasus Pelanggaran oleh Perwira Tinggi,Positif"
"9,12/12/2022 03:51,L3laki_5unyi,Tuan presdent Panglima TNI TNI Kapolri lihatlah anak bangsamu menjadi korban keganasan OPM,Negatif"
"10,12/12/2022 03:50,polres_sragen_,Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"11,12/12/2022 03:45,klatenutara_,Terima kasih atas kerja keras kekompakan dan loyalitas tanpa batas sehingga kegiatan berjalan aman dan lancar listyosigitprabowo humas poldajateng divisihumaspolri polresklaten fyp klaten polisi fyp polresklatenhadir viral klatenhariini klaten,Positif"
"12,12/12/2022 03:43,hikmatsholeh,Calon Kapolri 45 thn kedepan,Positif"
"13,12/12/2022 03:35,polsekpinangtng,IPDA SENDY PURNAMA SH Kanit Binmas Polsek Pinang didampingi oleh Bhabinkamtibmas Kel Kunciran BRIPKA FITRA SYAHIDIN melaksanakan kegiatan monitoring sekaligus sambang ke area pusat perbelanjaan ikea alam sutera kapolri kapoldametrojaya kapolresmetrotangerangkota,Negatif"
"14,12/12/2022 03:30,poldajateng_,Kapolda Jateng Irjen Pol Drs Ahmad Luthfi S H mendampingi Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo asistensi dan melaksanakan pengamanan dalam rangka Ngunduh Mantu Putra Presiden RI Kaesang Erina 11 12,Positif"
"15,12/12/2022 03:30,detikhot,Kapolri Jenderal Polisi Listyo Sigit sampaikan terima kasih pada jajarannya hingga Panglima TNI yang telah bersinergi mengamankan prosesi pernikahan Kaesang Erina di Solo,Positif"
"16,12/12/2022 03:28,detikcom,Kapolri Jenderal Polisi Listyo Sigit sampaikan terima kasih pada jajarannya hingga Panglima TNI yang telah bersinergi mengamankan prosesi pernikahan Kaesang Erina di Solo,Positif"
"17,12/12/2022 03:27,PolsekMiri,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang SURAKARTA,Positif"
"18,12/12/2022 03:26,kuasakatacom,Kapolri Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"19,12/12/2022 03:15,Sukodono14,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang SURAKARTA,Positif"
"20,12/12/2022 03:11,SambirejoPolsek,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"21,12/12/2022 03:00,celebdotid,Pernikahan Kaesang dan Erina Berjalan Aman dan Tertib Kapolri Ucapkan Terima Kasih CelebritiesDotID InfoCelebTerkini,Positif"
"22,12/12/2022 02:59,Inara65008560,Bhabinkamtibmas Polsek Muara Padang melaksanakan giat POLISI SANJO di Desa Binaan Kec Muara Padang amp Kec Muara Sugihan kapolri Kapoldasumsel kapolresbanyuasin poldasumsel polresbanyuasin polisibanyuasin polsekmuariana Polripresisi polripresisipoldasumsel,Negatif"
"23,12/12/2022 02:58,PolsekSambungm3,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"24,12/12/2022 02:56,km03_s,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"25,12/12/2022 02:54,MediaKomando,Kapolri Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"26,12/12/2022 02:44,kuasakatacom,Kapolri Ratusan Ribu Warga Tertib Ikuti Acara Nikahan Kaesang Erina,Netral"
"27,12/12/2022 02:40,intanalyze,TERORIS itu fakta Ada korbannya khususnya NATAL Bahwa dalam perjalanannya ada sesuatu Jangan dong pimred serra merta menggampangkan Tanya Pak Kapolri Polri kalo mmg ada oknum yg terkait narkoba Pisahkan dulu dong,Positif"
"28,12/12/2022 02:37,kumparan,Kapolri Jenderal Listyo Sigit Prabowo menyampaikan rasa syukurnya atas kelancaran seluruh rangkaian acara pernikahan Kaesang Erina di Yogyakarta dan Solo publisherstory bengawannews,Positif"
"29,12/12/2022 02:24,GATRA_com,Ngunduh Mantu Jokowi Aman Kapolri Densus 88 Bekerja Keras,Positif"
"30,12/12/2022 02:22,Polsekgiriwoyo8,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"31,12/12/2022 02:17,LMagetan98,Maaf Bapak KAPOLRI apakah SPTL itu baru muncul setelah adanya sp2hp kalau di mintai SPTL tidak mau memberikan saksinya apa dari internal POLRI Mohon jawabannya Terimakasih atas perhatiannya,Negatif"
"32,12/12/2022 02:15,ahmadmfauzi1,Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang SURAKARTA Antusiasme ratusan ribu warga Surakarta serta rangkaian resepsi Kaesang Erina yang berjalan sukses mendapat apresiasi dari Kapolri Jenderal Listyo Sigit Prabowo,Positif"
"33,12/12/2022 02:07,PolsekMasaran,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"34,12/12/2022 02:07,polsek_tangen,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Antusiasme ratusan ribu warga Surakarta serta rangkaian resepsi Kaesang Erina yang berjalan sukses mendapat apresiasi dari Kapolri Jenderal Listyo Sigit Prabowo,Positif"
