Tweet,Sentimen
"['yang terhormat', 'kepala kepolisian republik indonesia', 'betasemen khusus', 'badan nasional penanggulangan terorisme', 'stop', 'mendiscredit', 'islam', 'isis', 'teroris', 'radikal', 'intoleransi', 'akhlaq', 'muslim', 'negara kesatuan republik indonesia', 'teroris', 'isis', 'akhlaq', 'radikal', 'intoleransi', 'fitnah', 'negara', 'fobia', 'islam']",Negatif
"['indahnya', 'toleransi', 'indonesia', 'cc', 'yang terhormat', 'menkopolhukam', 'kepala kepolisian republik indonesia', 'presiden', 'percaya', 'indonesia']",Positif
"['tuan', 'presdent', 'panglima', 'tentara nasional indonesia', 'tentara nasional indonesia', 'kepala kepolisian republik indonesia', 'lihatlah', 'anak', 'bangsamu', 'korban', 'keganasan', 'organisasi papua merdeka']",Negatif
"['terima', 'kasih', 'kerja', 'keras', 'kekompakan', 'loyalitas', 'batas', 'kegiatan', 'berjalan', 'aman', 'lancar', 'listyosigitprabowo', 'humas', 'poldajateng', 'divisihumaspolri', 'polresklaten', 'fyp', 'klaten', 'polisi', 'fyp', 'polresklatenhadir', 'viral', 'klatenhariini', 'klaten']",Positif
"['calon', 'kepala kepolisian republik indonesia', 'ke depan']",Positif
"['teroris', 'fakta', 'korbannya', 'natal', 'perjalanannya', 'pimpinan redaksi', 'serra', 'merta', 'menggampangkan', 'kepala kepolisian republik indonesia', 'kepolisian republik indonesia', 'oknum', 'terkait', 'narkoba', 'pisahkan']",Negatif
"['maaf', 'kepala kepolisian republik indonesia', 'sptl', 'muncul', 'sphp', 'mintai', 'sptl', 'saksinya', 'internal', 'kepolisian republik indonesia', 'mohon', 'jawabannya', 'terima kasih', 'perhatiannya']",Positif
"['laporan', 'hasil', 'pemeriksaan', 'div', 'propam', 'kepolisian republik indonesia', 'terkait', 'suap', 'tambang', 'ilegal', 'perwira', 'kepolisian daerah', 'kalimantan', 'timur', 'markas besar', 'kepolisian republik indonesia', 'diserahkan', 'kepala kepolisian republik indonesia', 'april', 'tindaklanjutnya', 'ya']",Negatif
"['tentara nasional indonesia', 'kepolisian republik indonesia', 'kepala kepolisian republik indonesia', 'betasemen khusus', 'antiteror', 'amankan', 'pernikahan', 'kaesang', 'erina']",Positif
"['kepala kepolisian republik indonesia', 'amp', 'penegak', 'hukum', 'coba', 'pelakunya', 'orang', 'awam', 'dor', 'mati', 'selesai', 'plakunya', 'jenderal', 'berbintang', 'kayak', 'raya', 'anggota', 'berkelit', 'mengkaburkan', 'pasal', 'mentang', 'duit', 'amp', 'berpangkat']",Negatif
